gene,logfoldchange,pvals,pvals_adj,group
Mtss1,-4.299457550048828,1.58371169546106e-153,3.369599352044808e-152,Fib.4
Plk2,-4.150304794311523,4.192392962867325e-154,9.11389774536375e-153,Fib.4
Birc3,-1.6364896297454834,1.1863501481544467e-158,2.6659553891111164e-157,Fib.4
Gch1,-2.9995670318603516,6.065298618436386e-160,1.3784769587355422e-158,Fib.4
Lyn,-2.1387016773223877,9.079074476189974e-168,2.1114126688813896e-166,Fib.4
Ucp2,-4.748612403869629,7.662976457152774e-170,1.8465003511211504e-168,Fib.4
Cd93,-5.571545124053955,6.510168413647087e-170,1.58784595454807e-168,Fib.4
Sh3bgrl3,-1.1133265495300293,9.352411626268261e-172,2.3092374385847557e-170,Fib.4
Kitl,-2.832594156265259,5.731782951749543e-172,1.4329457379373857e-170,Fib.4
Dnajb1,-1.8489513397216797,2.5446167917454743e-172,6.442067827203732e-171,Fib.4
Nr4a1,-1.7422670125961304,3.500723973927219e-176,9.092789542668102e-175,Fib.4
Rel,-2.417848825454712,1.0690364213668117e-176,2.8132537404389784e-175,Fib.4
Tspan13,-5.7444868087768555,2.5511102408495056e-181,6.802960642265348e-180,Fib.4
Trib1,-2.8522889614105225,8.670871115986927e-188,2.3755811276676512e-186,Fib.4
Prkch,-6.493255615234375,1.8285006923672986e-189,5.224287692477996e-188,Fib.4
Gadd45b,-1.7360260486602783,4.9833117298943575e-201,1.5100944636043507e-199,Fib.4
Pitpnc1,-2.398841381072998,1.9378332016737185e-205,6.353551480897438e-204,Fib.4
Id3,-1.3261992931365967,1.8503799538531366e-206,6.167933179510456e-205,Fib.4
Irf1,-1.6219899654388428,2.687690124074721e-237,1.053996127088126e-235,Fib.4
Cd36,-4.8791422843933105,2.808162682735359e-259,1.2209402968414605e-257,Fib.4
Ifrd1,-1.4899201393127441,1.4494746634299217e-272,6.902260302047246e-271,Fib.4
Gadd45g,-2.4066007137298584,3.962995335759553e-279,1.9814976678797765e-277,Fib.4
Fosb,-2.241046905517578,4.1824063139529446e-280,2.1448237507450998e-278,Fib.4
Cdkn1a,-2.01678466796875,2.1486519112091e-310,1.3022132795206624e-308,Fib.4
Ier3,-2.3908262252807617,0.0,0.0,Fib.4
Srgn,-4.599308967590332,0.0,0.0,Fib.4
Klf2,-1.912455439567566,0.0,0.0,Fib.4
Btg1,-2.110696792602539,0.0,0.0,Fib.4
H3f3b,-1.0775004625320435,0.0,0.0,Fib.4
Atf3,-3.000870943069458,0.0,0.0,Fib.4
Nfkbia,-2.197375774383545,0.0,0.0,Fib.4
Tmsb4x,-1.605272650718689,0.0,0.0,Fib.4
Penk,2.898437976837158,0.0,0.0,Fib.5
Apoe,2.938066244125366,0.0,0.0,Fib.5
Slit3,2.521228790283203,0.0,0.0,Fib.5
C3,2.7052035331726074,0.0,0.0,Fib.5
Mgp,3.1839606761932373,0.0,0.0,Fib.5
Gsn,3.112022876739502,0.0,0.0,Fib.5
Cp,1.9817341566085815,3.4426329902621526e-300,9.836094257891864e-298,Fib.5
Lsamp,2.3614656925201416,7.676691675814046e-298,1.9191729189535114e-295,Fib.5
Srpx,2.685940980911255,1.6331249084880964e-296,3.629166463306881e-294,Fib.5
Sfrp1,2.100515604019165,8.416440862304409e-296,1.683288172460882e-293,Fib.5
Sgcd,2.259045124053955,2.635758580755557e-287,4.392930967925928e-285,Fib.5
Bmper,2.240612030029297,4.09776076470312e-276,6.304247330312493e-274,Fib.5
Arhgap24,1.9902608394622803,2.7207551984208244e-260,3.8867931406011777e-258,Fib.5
Angpt1,2.209282636642456,4.734175372211035e-255,6.312233829614713e-253,Fib.5
Ccl19,2.714602470397949,2.19941367403262e-253,2.7492670925407753e-251,Fib.5
G0s2,1.8587137460708618,5.671407890509734e-242,6.672244577070275e-240,Fib.5
Inmt,3.1520328521728516,3.233048047530966e-241,3.5922756083677403e-239,Fib.5
Vit,2.4435298442840576,2.4509421531919802e-239,2.5799391086231374e-237,Fib.5
Tcf21,1.678886890411377,4.0551808632882005e-239,4.0551808632882006e-237,Fib.5
Ccbe1,2.926131010055542,3.6354417126292866e-235,3.4623254405993204e-233,Fib.5
Fgl2,2.2767486572265625,4.898060771417738e-235,4.4527825194706705e-233,Fib.5
Hsd11b1,1.878398060798645,2.59575326207618e-229,2.257176749631461e-227,Fib.5
Ccdc80,1.8131133317947388,7.28952419867895e-229,6.074603498899125e-227,Fib.5
C4b,2.74847412109375,1.4389474519749336e-225,1.1511579615799468e-223,Fib.5
Vcam1,1.6900397539138794,4.862828410266854e-224,3.740637238666811e-222,Fib.5
Thsd7a,1.7656883001327515,8.79868724402858e-219,6.517546106687837e-217,Fib.5
Igf1,1.8414943218231201,5.643380067569828e-217,4.030985762549877e-215,Fib.5
Serpina3n,1.9379774332046509,4.616750912801576e-216,3.183966146759707e-214,Fib.5
Ifi205,1.7774196863174438,8.102391629934782e-214,5.401594419956522e-212,Fib.5
Efemp1,1.853377103805542,3.367873605905992e-210,2.1728216812296723e-208,Fib.5
Negr1,1.7752972841262817,3.156169197559785e-209,1.9726057484748653e-207,Fib.5
Cebpd,1.6156566143035889,7.213422275725714e-197,4.371771076197403e-195,Fib.5
Il1r1,1.468364953994751,1.7329917122195352e-192,1.019406889540903e-190,Fib.5
Pcdh9,1.7018086910247803,2.200852624126114e-183,1.257630070929208e-181,Fib.5
Col1a2,1.7901777029037476,7.687086741471593e-178,4.2706037452619965e-176,Fib.5
Gem,1.6451020240783691,1.478834484712276e-172,7.993699917363654e-171,Fib.5
Prkg1,1.499489188194275,6.807956619614576e-172,3.58313506295504e-170,Fib.5
Gas1,1.4904837608337402,1.0602035644724299e-169,5.436941356268872e-168,Fib.5
Slc10a6,1.670958399772644,5.737524047988588e-164,2.868762023994294e-162,Fib.5
Rgs17,1.8073976039886475,3.578474364037223e-163,1.745597250749865e-161,Fib.5
Col3a1,1.7648059129714966,2.6660544268927506e-159,1.269549727091786e-157,Fib.5
Svep1,1.6632037162780762,7.40551660733818e-156,3.366143912426445e-154,Fib.5
Abi3bp,1.2847959995269775,1.7489256133049784e-154,7.773002725799904e-153,Fib.5
Aox3,3.827913999557495,3.0282876143456464e-148,1.3166467888459332e-146,Fib.5
Cxcl1,1.7455230951309204,8.140574109570188e-141,3.3919058789875785e-139,Fib.5
Eln,1.3411893844604492,1.1146954073231475e-139,4.54977717274754e-138,Fib.5
